„Okkal vagdosgatom magam, nyugi, ne ess kétségbe, a vér melege emlékeztet anyám ölelésére”;Ács Dániel;ZENE
Bödőcs:„Most már nincs baj, húszezer lélegeztető van, csak a fele flipper”;Ács Dániel;humor
Jobboldali antirasszista tüntetés nyerte az idei nézettségi versenyt;Ács Dániel;videó
Pillanatok, amik élesen világítottak rá, hol a szeretet és hol a gonoszság;Ács Dániel;Karácsony
Bevándorlók focikupájára is gyűjtenek Ferencvárosban;Ács Dániel;jótékonyság
Szerencs polgármestere elmagyarázta, miért nem volt más választása, mint beállni Koncz Zsófia mögé;Ács Dániel;POLITIKA
Hivatalosan ez az ember utálja az országban a legjobban a Fideszt;Ács Dániel;divat
Élőben az SZFE '56-os menetéről;Ács Dániel;video
Csepelen az összes óvodában betiltották a Meseország mindenkié könyvet;Ács Dániel;KULTÚRA
Ilyen az, amikor nem viccel a Kutyapárt;Ács Dániel;Budapest
Vidnyányszky 2015-ben még arról beszélt, hogy korszakos élmény volt, amikor az osztályát befogadták a Színművészeti Egyetemen;Ács Dániel;videotéka
„Mi a francnak olyan neveket adni együtteseknek, hogy Orgazmus vagy URH vagy Bizottság?”;Ács Dániel;videotéka
Élő adás az SzFE diákjainak demonstrációjáról;Ács Dániel;video
„Majd én megbaszlak egy 9,3x64-el, előtte rádkacsintok egy Zeiss 4.2-12x50-en keresztül, te kis kavicstökű buzi!”;Ács Dániel;INTERNET
„Még szerencse, hogy az Origónak lefizettünk influenszereket, majd ők felnyitják a szemeket”;Ács Dániel;humor
Azért gyűltek össze a Gólyafészek étteremben, mert egy embert a halála után szerettek volna a helyére tenni;Ács Dániel;videotéka
Videón kért bocsánatot a 444 munkatársa a BTS együttes tagjaitól és rajongóitól;Botos Tamás;video
A Nemzeti Színház elé vonultak az SZFE hallgatói, onnan üzentek Vidnyánszkyéknak;Ács Dániel;video
A kultúrharc szimbolikus diadalának indult, diáklázadás lett belőle;Botos Tamás;video
Ki a hiteles újságíró?;Ács Dániel;Video
SZFE: kezdődik a tanév, marad a blokád;Ács Dániel;POLITIKA
Ez azért keményebb, mint egy náci karlendítés a Fidelitas-táborban;Ács Dániel;vélemény
„Mindenkiben elkezdett valami furcsa remény éledezni”;Ács Dániel;video
„Tényleg nem azért csináltam pártot, hogy ilyen figurákat hatalomra segítsek”;Ács Dániel;POLITIKA
„Nem tisztelhetjük tovább azokat a törvényeket, amik azt szolgálják, hogy ne tudjuk többé jó kedvvel és bőséggel szolgálni a hazánkat”;Ács Dániel;OKTATÁS
„Mi a demokratikus törvények szerint igyekszünk gondolkodni és cselekedni, de ezt kiröhögik és kijátsszák nap mint nap”;Ács Dániel;színház
„Miért hallgatnak a magyarok, miért nincs egyetlen szavuk se arra, ami történik?”;Ács Dániel;MŰVÉSZET
„A felkent progresszív félistenek, Alföldi Róberttől Karácsony Gergelyig egy öngyűlölő cigányt ajnároznak”;Ács Dániel;társadalom
„Én sem vagyok szokványos, de nem csinálok felvonulást”;Ács Dániel;video
Budai Gyula a Szijjártó jachtozásáról író újságírónak: „Sebaj, lesznek fotók a gazdid luxusáról is”;Ács Dániel;POLITIKA
Erdő Péter behívatta magához az Indexért kiálló Hodász atyát, aki azután lelőtte közösségi médiás csatornáit;Ács Dániel;vallás
„Gyakorlatilag itt van az egész szerveskémia-tankönyv alattunk ”;Ács Dániel;környezetvédelem
„A Nagy Imre az megérdemelte a sorsát!”;Ács Dániel;videotéka
Pesti Srácok az SZFE diákjainak: „A nevetek is az: hallgató. Tehát hallgattok”;Ács Dániel;OKTATÁS
Winkler Róbert: „Most már mi is a csicskamédiához tartozunk”;Ács Dániel;Média
Visszatér az élet az üres irodákba, de ne felejtsünk el vigyázni magunkra!;Botos Tamás;hirdetés
„Ezért ne sajnáld az indexes szemétládákat”;Ács Dániel;Média
Éppen ezt a képet nem akarta látni a hatalom;Ács Dániel;vélemény
Így jelentette be az Index főszerkesztő-helyettese több mint 60 ember felmondását;Ács Dániel;Média
Több mint nyolcvanan felmondtak az Indexben;Ács Dániel;Média
Az Index új vezetői kiálltak a szerkesztőség elé, de amit ott kaptak, arra nem voltak felkészülve;Ács Dániel;média
